attempts_ge,unique_users_ge,unique_passwords_ge,max_mean_interarrival_s,sample_precision,sample_recall,sample_f1,sample_tp,sample_fp,sample_fn,alerts_full_count,alerts_full_rate,label_text
10,5,5,-1.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6681,0.06479425085587377,a10_u5_p5_mioff
10,5,5,2.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6725,0.06522097545363734,a10_u5_p5_mi2.0
10,5,5,1.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6722,0.06519188059469892,a10_u5_p5_mi1.0
10,5,10,-1.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6642,0.06441601768967424,a10_u5_p10_mioff
10,5,10,2.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6692,0.06490093200531466,a10_u5_p10_mi2.0
10,5,10,1.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6683,0.06481364742849939,a10_u5_p10_mi1.0
10,5,15,-1.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,5913,0.057345966967636816,a10_u5_p15_mioff
10,5,15,2.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,5977,0.057966657291656565,a10_u5_p15_mi2.0
10,5,15,1.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,5957,0.057772691565400394,a10_u5_p15_mi1.0
10,10,5,-1.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6680,0.06478455256956096,a10_u10_p5_mioff
10,10,5,2.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6725,0.06522097545363734,a10_u10_p5_mi2.0
10,10,5,1.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6722,0.06519188059469892,a10_u10_p5_mi1.0
10,10,10,-1.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6568,0.0636983445025264,a10_u10_p10_mioff
10,10,10,2.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6620,0.06420265539079245,a10_u10_p10_mi2.0
10,10,10,1.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6610,0.06410567252766436,a10_u10_p10_mi1.0
10,10,15,-1.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,5668,0.05496988682099873,a10_u10_p15_mioff
10,10,15,2.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,5742,0.055687560008146564,a10_u10_p15_mi2.0
10,10,15,1.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,5718,0.055454801136639156,a10_u10_p15_mi1.0
10,15,5,-1.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6680,0.06478455256956096,a10_u15_p5_mioff
10,15,5,2.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6725,0.06522097545363734,a10_u15_p5_mi2.0
10,15,5,1.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6722,0.06519188059469892,a10_u15_p5_mi1.0
10,15,10,-1.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6519,0.06322312847319879,a10_u15_p10_mioff
10,15,10,2.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6571,0.06372743936146483,a10_u15_p10_mi2.0
10,15,10,1.0,1.0,0.8947368421052632,0.9444444444444444,34,0,4,6561,0.06363045649833675,a10_u15_p10_mi1.0
10,15,15,-1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5066,0.049131518460687994,a10_u15_p15_mioff
10,15,15,2.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5140,0.04984919164783583,a10_u15_p15_mi2.0
10,15,15,1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5116,0.04961643277632842,a10_u15_p15_mi1.0
15,5,5,-1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5250,0.050916003142244766,a15_u5_p5_mioff
15,5,5,2.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5279,0.05119725344531621,a15_u5_p5_mi2.0
15,5,5,1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5279,0.05119725344531621,a15_u5_p5_mi1.0
15,5,10,-1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5250,0.050916003142244766,a15_u5_p10_mioff
15,5,10,2.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5279,0.05119725344531621,a15_u5_p10_mi2.0
15,5,10,1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5279,0.05119725344531621,a15_u5_p10_mi1.0
15,5,15,-1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5234,0.05076083056123983,a15_u5_p15_mioff
15,5,15,2.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5267,0.05108087400956251,a15_u5_p15_mi2.0
15,5,15,1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5264,0.05105177915062409,a15_u5_p15_mi1.0
15,10,5,-1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5249,0.05090630485593196,a15_u10_p5_mioff
15,10,5,2.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5279,0.05119725344531621,a15_u10_p5_mi2.0
15,10,5,1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5279,0.05119725344531621,a15_u10_p5_mi1.0
15,10,10,-1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5248,0.05089660656961915,a15_u10_p10_mioff
15,10,10,2.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5278,0.0511875551590034,a15_u10_p10_mi2.0
15,10,10,1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5278,0.0511875551590034,a15_u10_p10_mi1.0
15,10,15,-1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5198,0.05041169225397872,a15_u10_p15_mioff
15,10,15,2.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5234,0.05076083056123983,a15_u10_p15_mi2.0
15,10,15,1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5230,0.050722037415988595,a15_u10_p15_mi1.0
15,15,5,-1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5249,0.05090630485593196,a15_u15_p5_mioff
15,15,5,2.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5279,0.05119725344531621,a15_u15_p5_mi2.0
15,15,5,1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5279,0.05119725344531621,a15_u15_p5_mi1.0
15,15,10,-1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5247,0.05088690828330634,a15_u15_p10_mioff
15,15,10,2.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5277,0.051177856872690594,a15_u15_p10_mi2.0
15,15,10,1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5277,0.051177856872690594,a15_u15_p10_mi1.0
15,15,15,-1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5066,0.049131518460687994,a15_u15_p15_mioff
15,15,15,2.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5102,0.049480656767949105,a15_u15_p15_mi2.0
15,15,15,1.0,1.0,0.868421052631579,0.9295774647887324,33,0,5,5098,0.04944186362269787,a15_u15_p15_mi1.0
20,5,5,-1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3959,0.03839551551240896,a20_u5_p5_mioff
20,5,5,2.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3986,0.03865736924285479,a20_u5_p5_mi2.0
20,5,5,1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3986,0.03865736924285479,a20_u5_p5_mi1.0
20,5,10,-1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3959,0.03839551551240896,a20_u5_p10_mioff
20,5,10,2.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3986,0.03865736924285479,a20_u5_p10_mi2.0
20,5,10,1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3986,0.03865736924285479,a20_u5_p10_mi1.0
20,5,15,-1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3957,0.03837611893978334,a20_u5_p15_mioff
20,5,15,2.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3984,0.03863797267022917,a20_u5_p15_mi2.0
20,5,15,1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3984,0.03863797267022917,a20_u5_p15_mi1.0
20,10,5,-1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3959,0.03839551551240896,a20_u10_p5_mioff
20,10,5,2.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3986,0.03865736924285479,a20_u10_p5_mi2.0
20,10,5,1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3986,0.03865736924285479,a20_u10_p5_mi1.0
20,10,10,-1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3959,0.03839551551240896,a20_u10_p10_mioff
20,10,10,2.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3986,0.03865736924285479,a20_u10_p10_mi2.0
20,10,10,1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3986,0.03865736924285479,a20_u10_p10_mi1.0
20,10,15,-1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3945,0.03825973950402964,a20_u10_p15_mioff
20,10,15,2.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3972,0.03852159323447547,a20_u10_p15_mi2.0
20,10,15,1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3972,0.03852159323447547,a20_u10_p15_mi1.0
20,15,5,-1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3959,0.03839551551240896,a20_u15_p5_mioff
20,15,5,2.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3986,0.03865736924285479,a20_u15_p5_mi2.0
20,15,5,1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3986,0.03865736924285479,a20_u15_p5_mi1.0
20,15,10,-1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3959,0.03839551551240896,a20_u15_p10_mioff
20,15,10,2.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3986,0.03865736924285479,a20_u15_p10_mi2.0
20,15,10,1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3986,0.03865736924285479,a20_u15_p10_mi1.0
20,15,15,-1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3944,0.03825004121771683,a20_u15_p15_mioff
20,15,15,2.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3971,0.03851189494816266,a20_u15_p15_mi2.0
20,15,15,1.0,1.0,0.8421052631578947,0.9142857142857143,32,0,6,3971,0.03851189494816266,a20_u15_p15_mi1.0
30,5,5,-1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2490,0.02414873291889323,a30_u5_p5_mioff
30,5,5,2.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2491,0.02415843120520604,a30_u5_p5_mi2.0
30,5,5,1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2491,0.02415843120520604,a30_u5_p5_mi1.0
30,5,10,-1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2490,0.02414873291889323,a30_u5_p10_mioff
30,5,10,2.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2491,0.02415843120520604,a30_u5_p10_mi2.0
30,5,10,1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2491,0.02415843120520604,a30_u5_p10_mi1.0
30,5,15,-1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2489,0.024139034632580422,a30_u5_p15_mioff
30,5,15,2.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2490,0.02414873291889323,a30_u5_p15_mi2.0
30,5,15,1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2490,0.02414873291889323,a30_u5_p15_mi1.0
30,10,5,-1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2490,0.02414873291889323,a30_u10_p5_mioff
30,10,5,2.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2491,0.02415843120520604,a30_u10_p5_mi2.0
30,10,5,1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2491,0.02415843120520604,a30_u10_p5_mi1.0
30,10,10,-1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2490,0.02414873291889323,a30_u10_p10_mioff
30,10,10,2.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2491,0.02415843120520604,a30_u10_p10_mi2.0
30,10,10,1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2491,0.02415843120520604,a30_u10_p10_mi1.0
30,10,15,-1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2478,0.024032353483139528,a30_u10_p15_mioff
30,10,15,2.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2479,0.024042051769452337,a30_u10_p15_mi2.0
30,10,15,1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2479,0.024042051769452337,a30_u10_p15_mi1.0
30,15,5,-1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2490,0.02414873291889323,a30_u15_p5_mioff
30,15,5,2.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2491,0.02415843120520604,a30_u15_p5_mi2.0
30,15,5,1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2491,0.02415843120520604,a30_u15_p5_mi1.0
30,15,10,-1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2490,0.02414873291889323,a30_u15_p10_mioff
30,15,10,2.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2491,0.02415843120520604,a30_u15_p10_mi2.0
30,15,10,1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2491,0.02415843120520604,a30_u15_p10_mi1.0
30,15,15,-1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2478,0.024032353483139528,a30_u15_p15_mioff
30,15,15,2.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2479,0.024042051769452337,a30_u15_p15_mi2.0
30,15,15,1.0,1.0,0.6052631578947368,0.7540983606557378,23,0,15,2479,0.024042051769452337,a30_u15_p15_mi1.0
